epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,72.3305,1.35201,0.69375,1.02586,1,0.97123,0.995,0.4087,2.10446,0.90873,1.29969,0.000614,0.000614,0.000614
44,73.3761,1.45267,0.75158,1.03221,1,0.98884,0.995,0.43878,2.06444,0.89986,1.28068,0.000581,0.000581,0.000581
45,74.4742,1.38651,0.71096,1.02876,0.93035,0.88235,0.94577,0.4616,2.03254,0.93505,1.27644,0.000548,0.000548,0.000548
46,75.5415,1.46232,0.77739,1.06653,0.99142,1,0.995,0.46197,2.06538,0.94427,1.29299,0.000515,0.000515,0.000515
47,76.6421,1.28433,0.64908,1.00495,1,0.99472,0.995,0.45298,2.08904,0.90131,1.32598,0.000482,0.000482,0.000482
48,77.7074,1.4139,0.6766,1.02359,0.9756,0.88235,0.94642,0.44188,2.05571,0.87641,1.31496,0.000449,0.000449,0.000449
49,78.7648,1.37071,0.67119,0.99347,0.98784,0.88235,0.94404,0.43389,2.04652,0.90012,1.28982,0.000416,0.000416,0.000416
50,79.8379,1.51184,0.69847,1.03797,0.99131,0.88235,0.94108,0.45254,2.03461,0.89907,1.26955,0.000383,0.000383,0.000383
51,83.7221,1.46269,0.71345,1.07851,0.99232,0.88235,0.95173,0.4489,2.01718,0.93279,1.2568,0.00035,0.00035,0.00035
52,85.0478,1.28434,0.71002,1.10824,0.99232,0.88235,0.93797,0.46033,2.00274,0.98639,1.24606,0.000317,0.000317,0.000317
53,86.0982,1.29066,0.64107,1.03982,0.9916,0.88235,0.93694,0.44266,2.0117,1.02316,1.23643,0.000284,0.000284,0.000284
54,87.1417,1.30059,0.65806,1.04265,0.99184,0.88235,0.91889,0.4347,2.0229,1.03523,1.24584,0.000251,0.000251,0.000251
55,88.1752,1.35559,0.64037,0.9924,0.98972,0.88235,0.91889,0.43402,2.00195,1.05212,1.25474,0.000218,0.000218,0.000218
56,89.2208,1.27112,0.67861,1.06937,0.99133,0.88235,0.94631,0.4408,2.01458,1.03972,1.26196,0.000185,0.000185,0.000185
57,90.2698,1.38628,0.69164,0.97263,0.99253,0.88235,0.95179,0.44176,2.00426,1.01773,1.2637,0.000152,0.000152,0.000152
58,91.3344,1.31708,0.64377,1.04205,0.99337,0.88235,0.94996,0.44421,2.00229,0.99546,1.26165,0.000119,0.000119,0.000119
59,92.3695,1.40668,0.70414,0.97542,0.99376,0.88235,0.94916,0.45868,1.98631,0.99587,1.25723,8.6e-05,8.6e-05,8.6e-05
60,93.4516,1.29502,0.63619,0.97746,0.99388,0.88235,0.95,0.4555,1.97854,0.9882,1.25793,5.3e-05,5.3e-05,5.3e-05
